,Unnamed: 0,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Days
139,3290,1989-10-18 01:54:33.600,37.018,-121.7333,5.26,2.92,Md,38,79.0,8.0,0.06,NC,10090834.0,0.0
140,3291,1989-10-18 01:55:38.760,36.9547,-121.6848,6.37,3.02,Md,15,116.0,1.0,0.06,NC,10090835.0,0.0
141,3292,1989-10-18 01:57:34.630,37.1845,-122.0518,10.58,1.8,Md,15,71.0,3.0,0.07,NC,10090836.0,0.0
142,3293,1989-10-18 01:57:50.140,37.167,-121.98,7.05,1.81,Md,16,83.0,4.0,0.04,NC,10090850.0,0.0
143,3294,1989-10-18 01:58:15.860,36.92,-121.6363,4.31,3.3,ML,42,104.0,3.0,0.11,NC,10090837.0,0.0
144,3295,1989-10-18 01:58:30.280,37.0123,-121.8372,17.59,3.39,Md,30,78.0,2.0,0.08,NC,10090838.0,0.0
145,3296,1989-10-18 01:58:58.370,37.1842,-121.983,7.04,2.19,Md,12,75.0,2.0,0.02,NC,10090839.0,0.0
146,3297,1989-10-18 01:59:25.660,37.1793,-121.984,8.32,2.89,Md,35,94.0,3.0,0.06,NC,10090840.0,0.0
147,3298,1989-10-18 02:00:11.060,37.091,-121.8853,-0.49,2.58,Md,38,52.0,5.0,0.12,NC,10090841.0,0.0
148,3299,1989-10-18 02:00:36.270,37.111,-121.9145,7.28,2.87,Md,27,60.0,7.0,0.05,NC,10090842.0,0.0
149,3300,1989-10-18 02:01:37.300,37.1643,-122.0097,8.19,1.71,Md,10,106.0,2.0,0.08,NC,10090843.0,0.0
150,3301,1989-10-18 02:02:10.470,37.1788,-121.9765,7.41,1.89,Md,17,78.0,3.0,0.04,NC,10090844.0,0.0
151,3302,1989-10-18 02:02:35.980,36.9495,-121.6825,6.26,2.42,Md,17,93.0,1.0,0.07,NC,10090845.0,0.0
152,3303,1989-10-18 02:03:35.660,37.0612,-121.909,16.73,1.51,Md,19,102.0,6.0,0.04,NC,251693.0,0.0
153,3304,1989-10-18 02:04:11.480,36.9927,-121.7688,14.1,1.86,Md,22,65.0,5.0,0.03,NC,10090846.0,0.0
154,3305,1989-10-18 02:04:23.210,37.0675,-121.9252,16.92,1.7,Md,18,60.0,5.0,0.05,NC,251916.0,0.0
155,3306,1989-10-18 02:04:37.190,37.109,-121.9188,7.46,2.47,Md,30,51.0,7.0,0.08,NC,10090847.0,0.0
156,3307,1989-10-18 02:05:09.990,37.047,-121.8345,12.4,1.98,Md,21,67.0,2.0,0.08,NC,251694.0,0.0
157,3308,1989-10-18 02:05:38.790,37.1153,-121.9237,7.5,2.77,Md,33,52.0,6.0,0.06,NC,10090848.0,0.0
158,3309,1989-10-18 02:05:59.470,37.1108,-121.9193,6.5,1.08,Md,7,117.0,7.0,0.01,NC,251696.0,0.0
159,3310,1989-10-18 02:06:14.090,37.031,-121.7637,5.02,1.87,Md,10,88.0,5.0,0.03,NC,10090849.0,0.0
160,3311,1989-10-18 02:06:29.050,37.1413,-122.0147,0.88,2.07,Md,7,74.0,7.0,0.09,NC,251923.0,0.0
161,3312,1989-10-18 02:07:08.470,36.9782,-121.6745,4.05,2.56,Md,27,102.0,3.0,0.08,NC,251714.0,0.0
162,3313,1989-10-18 02:07:55.090,37.1467,-121.9605,-0.5,2.61,Md,16,59.0,6.0,0.08,NC,10090853.0,0.0
163,3314,1989-10-18 02:08:44.440,37.1268,-121.9193,4.59,1.68,Md,10,75.0,5.0,0.05,NC,251698.0,0.0
164,3315,1989-10-18 02:08:53.930,36.962,-121.7153,13.32,3.5,ML,45,74.0,2.0,0.07,NC,10090854.0,0.0
165,3317,1989-10-18 02:10:01.390,37.0013,-121.7338,2.67,2.49,Md,16,105.0,9.0,0.04,NC,10090855.0,0.0
166,3318,1989-10-18 02:10:29.230,37.1228,-122.0488,8.63,2.48,Md,14,93.0,5.0,0.07,NC,10090856.0,0.0
167,3320,1989-10-18 02:11:24.950,37.1165,-121.934,7.65,1.09,Md,10,115.0,6.0,0.05,NC,252167.0,0.0
168,3321,1989-10-18 02:12:33.340,37.0212,-121.741,6.47,3.2,ML,48,76.0,7.0,0.09,NC,10090857.0,0.0
169,3322,1989-10-18 02:13:38.300,37.1123,-121.8587,4.92,3.06,Md,40,48.0,2.0,0.07,NC,10090858.0,0.0
170,3324,1989-10-18 02:14:38.870,37.0645,-121.9088,16.91,1.39,Md,13,95.0,6.0,0.04,NC,252446.0,0.0
171,3325,1989-10-18 02:14:59.370,36.9887,-121.7482,5.97,2.78,Md,29,74.0,6.0,0.11,NC,10090859.0,0.0
172,3326,1989-10-18 02:15:49.210,37.0233,-121.7408,-0.31,4.5,ML,32,85.0,7.0,0.07,NC,10090144.0,0.0
173,3327,1989-10-18 02:17:25.410,37.1312,-121.969,10.36,3.31,Md,31,104.0,5.0,0.05,NC,10090860.0,0.0
174,3328,1989-10-18 02:18:32.900,37.125,-121.923,6.21,2.98,Md,41,53.0,5.0,0.06,NC,10090861.0,0.0
175,3329,1989-10-18 02:19:28.160,37.1717,-121.9902,7.19,2.33,Md,15,124.0,3.0,0.03,NC,10090862.0,0.0
176,3331,1989-10-18 02:21:09.940,37.1022,-121.8262,3.21,3.19,Md,18,80.0,1.0,0.07,NC,251705.0,0.0
177,3332,1989-10-18 02:21:32.590,37.1,-121.8593,5.09,1.38,Md,11,78.0,2.0,0.04,NC,252777.0,0.0
178,3333,1989-10-18 02:21:54.500,37.0535,-121.7862,5.22,0.97,Md,8,216.0,2.0,0.08,NC,252778.0,0.0
179,3337,1989-10-18 02:25:44.050,37.168,-121.9998,6.42,1.48,Md,12,100.0,3.0,0.05,NC,252861.0,0.0
180,3338,1989-10-18 02:26:05.740,37.0385,-121.7745,1.93,4.2,ML,38,91.0,9.0,0.07,NC,10090186.0,0.0
181,3339,1989-10-18 02:28:06.460,37.0375,-121.7668,2.74,2.68,Md,26,118.0,4.0,0.07,NC,251710.0,0.0
182,3340,1989-10-18 02:29:00.060,37.1895,-121.8883,17.62,2.29,Md,10,157.0,9.0,0.13,NC,252867.0,0.0
183,3341,1989-10-18 02:30:05.320,37.1347,-121.9917,13.41,2.35,Md,28,68.0,5.0,0.06,NC,10090343.0,0.0
184,3342,1989-10-18 02:30:29.510,37.1783,-121.9985,8.55,3.3,ML,47,49.0,3.0,0.06,NC,10090364.0,0.0
185,3343,1989-10-18 02:31:53.330,37.1058,-121.978,16.84,2.41,Md,31,70.0,8.0,0.08,NC,252789.0,0.0
186,3345,1989-10-18 02:33:18.870,37.0493,-121.7897,3.93,3.27,Md,25,63.0,2.0,0.08,NC,10090344.0,0.0
187,3346,1989-10-18 02:34:03.960,37.0605,-121.8225,4.26,3.0,ML,32,62.0,2.0,0.07,NC,10090345.0,0.0
188,3347,1989-10-18 02:35:16.790,37.193,-122.0527,11.52,1.73,Md,20,56.0,4.0,0.07,NC,252791.0,0.0
189,3348,1989-10-18 02:35:48.070,37.1422,-122.014,13.61,1.61,Md,16,123.0,3.0,0.05,NC,253080.0,0.0
190,3349,1989-10-18 02:36:01.920,37.1622,-121.9713,9.48,3.2,ML,46,56.0,4.0,0.07,NC,10090346.0,0.0
191,3351,1989-10-18 02:37:19.080,37.1028,-121.8592,5.5,2.46,Md,21,111.0,6.0,0.05,NC,252793.0,0.0
192,3352,1989-10-18 02:37:48.500,37.1002,-121.859,4.87,1.98,Md,13,83.0,2.0,0.05,NC,252794.0,0.0
193,3353,1989-10-18 02:38:38.570,37.127,-121.9672,5.15,1.46,Md,16,88.0,6.0,0.13,NC,252795.0,0.0
194,3354,1989-10-18 02:39:43.800,37.1895,-122.0462,9.27,1.22,Md,10,87.0,3.0,0.06,NC,252796.0,0.0
195,3355,1989-10-18 02:40:26.510,37.108,-121.9012,6.15,1.25,Md,11,97.0,6.0,0.03,NC,252797.0,0.0
196,3356,1989-10-18 02:41:03.100,37.1237,-121.9693,14.23,1.29,Md,17,64.0,6.0,0.05,NC,252798.0,0.0
197,3357,1989-10-18 02:41:48.180,37.1532,-121.9593,9.89,1.57,Md,15,72.0,3.0,0.06,NC,252799.0,0.0
198,3358,1989-10-18 02:42:02.190,37.1118,-121.9202,7.71,2.56,Md,15,55.0,6.0,0.05,NC,252801.0,0.0
199,3359,1989-10-18 02:43:04.170,37.127,-121.9245,1.73,1.73,Md,10,59.0,5.0,0.06,NC,252802.0,0.0
